Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Rutgers,105.694,97.3014,0.721407,47.0,49.2,19.1,17.4,33.4,27.0,67.4939,2019,-3.50354
Nicholls St.,99.4487,111.217,0.216506,50.1,51.0,17.2,18.1,23.5,33.6,68.5662,2019,-12.4993
Sacramento St.,97.0402,106.585,0.253707,48.7,52.6,19.1,21.4,28.2,27.1,67.2634,2019,-12.3291
William & Mary,103.421,108.011,0.37768,54.4,52.7,18.3,15.6,24.5,26.0,68.6943,2019,-10.8486
Colgate,110.231,106.425,0.599675,55.9,50.7,19.3,17.8,30.2,27.1,66.5574,2019,-4.11475
USC,109.838,101.54,0.71163,52.8,49.1,16.5,18.1,27.0,29.9,69.5531,2019,-6.91475
UNLV,105.507,106.304,0.478363,49.5,51.0,18.6,17.6,35.5,27.7,67.4675,2019,-7.33866
Illinois St.,101.126,104.842,0.397718,49.1,51.3,18.4,18.2,26.0,26.1,66.6511,2019,-8.80537
Manhattan,90.3657,104.624,0.156459,47.4,51.0,24.1,23.5,30.6,30.3,61.9582,2019,-17.1176
Utah,115.629,107.956,0.687744,55.0,52.3,19.2,14.7,31.0,27.1,65.9867,2019,-4.07484
Louisiana Tech,104.335,103.101,0.534148,49.8,49.3,17.0,19.2,29.4,28.8,65.5678,2019,-6.7711
Youngstown St.,104.873,112.072,0.317892,49.6,53.6,18.5,16.2,33.5,28.9,67.2983,2019,-13.8182
Jacksonville,98.0826,107.353,0.261427,49.6,52.1,19.9,18.2,28.3,27.4,70.9653,2019,-14.0621
Tennessee St.,98.4278,110.015,0.217567,49.1,54.3,22.7,20.3,28.7,28.4,69.4503,2019,-14.1633
Stanford,102.28,98.6523,0.602361,51.2,47.9,20.8,17.2,29.9,28.3,69.5531,2019,-5.71272
Longwood,99.6507,107.917,0.285681,52.4,50.5,20.4,17.4,24.5,25.2,66.9873,2019,-12.8096
Sacred Heart,103.529,111.645,0.295676,51.7,51.8,19.9,16.5,31.8,27.0,72.0509,2019,-12.9802
Western Kentucky,104.862,100.478,0.620365,49.9,48.9,19.6,18.5,29.6,28.1,67.7891,2019,-5.337
UT Arlington,101.527,99.8756,0.547023,47.0,48.0,20.3,18.1,31.0,28.0,66.2708,2019,-7.26637
Fordham,97.0989,103.647,0.320722,46.8,49.5,16.4,19.1,25.1,28.0,64.9642,2019,-14.6486
Alabama St.,94.7527,112.5,0.121922,46.1,53.0,21.0,21.2,31.6,32.4,66.8509,2019,-13.4992
Wichita St.,107.437,95.8288,0.788341,46.9,47.6,17.4,17.6,32.5,26.9,67.8847,2019,-2.81012
Oakland,107.755,108.017,0.493029,54.2,53.0,18.5,17.2,25.7,32.5,68.3765,2019,-10.1014
Boise St.,108.668,103.364,0.640015,53.9,51.8,17.3,18.5,23.5,24.4,65.2998,2019,-11.7085
