Season,TeamA,TeamB,Predicted_Winner,Prob_Team_A_Wins,Prob_Team_B_Wins,AdjOE_diff,AdjDE_diff,EFG%_diff,EFGD%_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,ADJ T_diff,WAB_diff
2026,Ohio St.,Purdue,Purdue,0.2795449339031885,0.7204550660968114,-8.102000000000018,1.3320000000000078,-1.1000000000000014,-2.0,1.9000000000000004,0.20000000000000107,-5.4999999999999964,3.6000000000000014,1.7250999999999976,-6.29849
2026,Ohio St.,Queens,Ohio St.,0.9830042815598983,0.016995718440101726,10.530999999999992,-15.525999999999996,-0.10000000000000142,-3.700000000000003,0.5999999999999996,0.8000000000000007,0.40000000000000213,-3.0,-3.3406999999999982,9.85768
2026,Ohio St.,Saint Louis,Ohio St.,0.8778666970431006,0.12213330295689939,5.701999999999998,-0.664999999999992,-3.200000000000003,5.5,-1.9999999999999982,-0.3000000000000007,-0.3000000000000007,3.0,-4.852400000000003,1.0193
2026,Ohio St.,Texas Tech,Texas Tech,0.3517811479133223,0.6482188520866776,-1.0940000000000083,2.7742999999999967,0.29999999999999716,0.8999999999999986,-0.5,1.1000000000000014,-2.4999999999999964,-0.10000000000000142,-0.24669999999998993,-2.1659499999999996
2026,Ohio St.,Tennessee,Tennessee,0.4305383826053339,0.569461617394666,3.7179999999999893,6.069600000000008,4.899999999999999,2.5999999999999943,-1.700000000000001,-0.5,-14.3,2.1000000000000014,0.9367000000000019,-1.2255599999999998
2026,Ohio St.,Virginia,Ohio St.,0.527294311122735,0.47270568887726505,2.9529999999999887,5.7472000000000065,1.8999999999999986,5.0,-0.5999999999999996,0.20000000000000107,-7.099999999999998,0.8000000000000007,0.5838999999999999,-4.87246
2026,Ohio St.,Wright St.,Ohio St.,0.9533347967247136,0.04666520327528645,12.847999999999999,-7.435000000000002,2.1000000000000014,-1.8000000000000043,-0.9000000000000004,-0.6999999999999993,-2.400000000000002,0.8000000000000007,-0.8153999999999968,9.458960000000001
2026,Ohio St.,Santa Clara,Ohio St.,0.6206422931204321,0.37935770687956794,0.20399999999999352,-2.1629999999999967,1.8999999999999986,-1.5,-0.1999999999999993,-4.300000000000001,-5.900000000000002,-2.299999999999997,-3.0959000000000003,0.7490399999999999
2026,Ohio St.,Tennessee St.,Ohio St.,0.9925912341402313,0.0074087658597686845,17.416999999999987,-10.271999999999991,6.399999999999999,-0.9000000000000057,-1.0999999999999996,-4.199999999999999,-4.099999999999998,0.10000000000000142,-3.9750999999999976,8.54618
2026,TCU,UCLA,UCLA,0.19107025389614826,0.8089297461038517,-9.703999999999994,-2.141600000000011,-3.0,0.6000000000000014,2.0999999999999996,1.5999999999999979,3.299999999999997,-3.1999999999999993,2.8918999999999926,-1.2410200000000002
