Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Mississippi St.,101.135,99.2755,0.553144,47.5,48.0,23.3,18.9,32.3,31.1,63.509,-9.06223
St. John's,112.058,96.885,0.841998,49.3,46.4,15.7,19.5,27.6,35.4,66.3764,2.21594
Long Beach St.,103.344,100.453,0.580872,47.6,49.2,20.2,21.0,31.5,34.0,65.0364,-5.47652
Samford,101.864,111.9,0.253402,49.8,53.3,19.2,21.1,30.1,34.1,66.1514,-13.8582
Eastern Washington,112.285,109.403,0.574189,55.1,52.3,15.9,17.8,29.3,30.7,67.9239,-2.28923
Kansas St.,106.173,98.5859,0.701115,47.8,49.7,20.9,20.2,34.0,31.4,62.0987,-2.78154
Pepperdine,99.8244,96.4615,0.597266,46.9,45.6,19.3,19.1,28.7,32.8,63.4929,-3.70574
Charleston,95.6105,104.634,0.261704,46.0,48.1,19.3,18.4,27.5,32.2,60.9543,0.0
Grambling St.,78.899,118.422,0.00928548,39.4,52.2,26.1,16.9,28.9,36.4,64.8642,-22.1312
Texas Southern,104.333,109.709,0.359427,49.5,49.3,19.7,18.7,33.8,34.6,63.0838,-4.30104
Central Connecticut,93.5113,113.13,0.100635,44.6,51.4,21.3,15.8,30.9,32.8,63.1541,-21.632
VMI,99.1142,109.217,0.24672,46.9,53.2,19.6,20.5,31.9,33.9,76.7065,-13.8078
Auburn,106.788,103.787,0.581217,46.9,52.5,18.9,21.3,27.6,34.1,67.3358,-6.9674
New Orleans,98.1312,111.201,0.191866,46.5,54.8,22.2,21.2,35.7,32.9,66.9305,-13.1218
Idaho St.,98.0795,111.526,0.185807,48.1,52.0,18.7,18.7,29.9,32.2,63.291,-18.8747
Columbia,108.407,107.649,0.520159,51.6,47.9,19.4,16.2,32.0,29.2,59.8702,-9.50609
IU Indy,94.3879,103.164,0.264548,46.5,51.3,23.6,20.9,31.1,28.3,63.5088,-14.1821
Western Carolina,102.679,106.533,0.395613,48.8,50.1,20.1,20.7,34.7,33.9,65.5757,-10.8934
Eastern Kentucky,105.391,103.572,0.549889,53.9,53.5,17.9,26.9,21.6,34.8,63.3725,-5.29276
Penn,98.5885,108.247,0.254499,49.1,51.2,23.6,18.1,29.5,29.1,63.1289,-12.7895
South Carolina St.,91.3578,109.551,0.110225,42.4,51.0,19.4,20.1,30.1,33.2,64.5979,-16.9061
Idaho,107.728,112.9,0.368349,53.4,53.6,17.5,15.4,30.7,27.0,67.3165,-12.7174
Stony Brook,102.257,100.048,0.562445,46.0,46.0,18.6,17.7,37.1,25.4,63.8688,-4.45695
Evansville,106.226,101.648,0.62401,52.1,49.4,19.3,19.9,25.8,28.0,65.8123,-4.47526
Saint Peter's,99.5234,102.59,0.413632,46.9,45.2,19.5,20.9,31.4,30.5,60.1187,-12.4044
Virginia,113.871,86.4022,0.959868,50.6,42.3,15.7,17.9,34.3,24.2,57.7542,9.92144
UCF,102.862,111.481,0.283857,49.1,51.3,19.7,15.8,30.7,36.8,64.0048,-11.0773
Drexel,100.14,105.939,0.343579,45.0,50.1,17.0,18.5,27.5,31.2,60.5873,-12.2199
Charleston Southern,105.826,109.13,0.412531,48.5,52.4,17.2,18.9,33.4,28.5,65.0762,-5.93162
Northern Iowa,117.278,95.1287,0.917367,55.9,45.6,17.8,19.2,27.0,26.9,57.8476,5.56235
South Carolina,106.251,94.4061,0.795647,45.2,44.8,19.6,21.0,34.6,31.5,64.2821,-3.67931
Lamar,99.7366,109.419,0.256252,49.7,52.8,23.4,20.4,34.6,32.9,65.9073,-9.69059
Kentucky,121.769,86.1481,0.981652,51.5,39.6,16.3,21.3,39.5,31.8,62.8339,12.9584
